headings,label
ബിഹാറില്‍ കോണ്‍ഗ്രസ് സഖ്യം നിലംതൊടില്ല! ബിജെപി തന്നെ! മോദി ഭരിക്കുമെന്നും സര്‍വ്വേ ഫലം,entertainment
ഒതുക്കുങ്ങല്‍ സെവന്‍സില്‍ ഫിഫ മഞ്ചേരി ഫൈനലില്‍,sports
9 മുതല്‍ 12 വരെയുള്ള ക്ലാസ്സില്‍ പഠിക്കുന്ന കുട്ടികള്‍ക്കു ചില്‍ഡ്രന്‍ ഫണ്ടിന്‍റെ സ്കോളര്‍ഷിപ്പ,business
വില്ലനായി സഞ്ജയ് ദത്ത്; കെജിഎഫ് രണ്ടാം ഭാഗം ഏപ്രിലില്‍,entertainment
ചെന്നൈയുടെ വിജയ രഹസ്യം അക്കാര്യം ; റെയ്ന പറയുന്നു.,sports
"
സ്വര്‍ണവില കാല്‍ലക്ഷം കടന്നു
                                            
",business
"ഇറക്കുമതി ഇളവുകളില്‍ നിന്ന് ഇന്ത്യന്‍ ഉല്‍പന്നങ്ങളെ ഒഴിവാക്കുന്ന അമേരിക്കന്‍ തീരുമാനം തിരിച്ചടിയാകുക സമുദ്രോല്‍പന്ന കയറ്റുമതിക്ക്; ഭീഷണിയൊഴിവായി കശുവണ്ടി, സുഗന്ധദ്രവ്യ കയറ്റുമതി മേഖലകള്‍",business
പിഷാരടിക്ക് മുന്നില്‍ തൊഴുകൈയുമായി മിഥുന്‍! പുരുഷു എന്നെ അനുഗ്രഹിക്കണം! പിന്നീട് സംഭവിച്ചതോ? കാണൂ!,entertainment
സിദ്ധാര്‍ത്ഥ് ശിവയുടെ വര്‍ത്തമാനം- കൂടുതല്‍ വിവരങ്ങള്‍,entertainment
ഐപിഎലിന്റെ  12 ആം സീസണില്‍ പ്ലെയര്‍ ഓഫ് ദി ടൂര്‍ണമെന്റാവുക  ഈ മലയാളി താരം - ഷെയ്ന്‍ വോണ്‍,sports
ഇന്ധന വിലയില്‍ വീണ്ടും വ്യത്യാസം ; പെട്രോളിനും ഡീസലിനും 14 പൈസ വര്‍ധിച്ചു,business
സ്വര്‍ണവില ഇനിയും കൂടും,business
തമിഴ് ചിത്രം 100% കാതല്‍ പുതിയ പോസ്റ്റര്‍ റിലീസ് ചെയ്തു,entertainment
"ജെ​റ്റ് എ​യ​ര്‍​വേസി​നെ ര​ക്ഷി​ക്കാ​നു​ള്ള ശ്ര​മ​ങ്ങ​ള്‍​ക്കു വീ​ണ്ടും ത​ട​സം; കു​ടി​ശി​കയെതു​ട​ര്‍​ന്ന് ഒ​ന്‍​പ​തു വി​മാ​ന​ങ്ങ​ള്‍ പാ​ട്ട​ക്കമ്ബ​നി​ക​ള്‍ പി​ടി​ച്ചി​ട്ടു, സ​ര്‍​വീ​സു​ക​ള്‍ റ​ദ്ദാ​ക്കി",business
മോഹന്‍ലാല്‍  ചിത്രം ലൂസിഫറിലെ  പുതിയ സ്റ്റില്‍ പുറത്തുവിട്ടു,entertainment
ശ​​ബ​​രി​​മ​​ല വി​​ക​​സ​​നത്തിനായി സ​​ര്‍​​ക്കാ​​ര്‍ നി​​യ​​ന്ത്ര​​ണ​​ത്തി​​ല്‍ പ്ര​​ത്യേ​​ക ക​​മ്ബ​​നി രൂ​​പീ​​ക​​രി​​ക്കാ​​ന്‍ തീ​​രു​​മാ​​നം; നടപടി തീ​​​​​ര്‍​​ഥാ​​​​​ട​​​​​ക​​​​​ര്‍​​​​​ക്കു കൂ​​​​​ടു​​​​​ത​​​​​ല്‍ സൗ​​​​​ക​​​​​ര്യം ഏ​​​​​ര്‍​​​​​പ്പെ​​​​​ടു​​​​​ത്തു​​​​​ന്ന​​​​​തി​​​​​നും അ​​​​​ടി​​​​​സ്ഥാ​​​​​നസൗ​​​​​ക​​​​​ര്യം വി​​​​​ക​​​​​സി​​​​​പ്പി​​​​​ക്കു​​​​​ന്ന​​​​​തി​​​​​നും വേണ്ടി,business
കന്നഡ ചിത്രം 'കെ. ജി. എഫ്: ചാപ്റ്റര്‍-2'; ഷൂട്ടിംഗ് തുടങ്ങി,entertainment
ഒരുലക്ഷം രൂപ ചികിത്സയ്ക്ക് നല്‍കിയ പ്രമുഖ നടന്‍ ഫോണില്‍ നിരന്തരം സന്ദേശങ്ങള്‍ അയച്ച്‌ മാനസികമായി പീഡിപ്പിക്കുന്നുവെന്ന പരാതിയുമായി നടി വിജയലക്ഷ്മി,entertainment
രണ്ടാം സെമിയില്‍ നാളെ മുംബയും ഗോവയും,sports
റിലയന്‍സിന്റെ ബിറ്റ്‌കോയിന്‍ ഫെബ്രുവരിയില്‍ എത്തും,business
"മാരുതിയെ വിറപ്പിച്ചു ടാറ്റ ഉറപ്പിച്ചു; വണ്ടിക്കമ്ബക്കാര്‍ ചോദിക്കുന്നു, 'പപ്പടം' പൊടിയുമോ?",business
'ഇഷ്‌ക്' ഫസ്റ്റ് ലുക്ക് പോസ്റ്റര്‍ പുറത്തിറങ്ങി,entertainment
ഇനി ഓടിക്കൊണ്ടിരിക്കുമ്ബോള്‍ വൈഫൈ വഴി യാത്രക്കാരന് മൊബൈലില്‍ സിനിമ കാണാം; പുതിയ ആപ്പുമായി റെയില്‍വെ,business
"കുമ്ബളങ്ങിയിലെ ഫ്രാങ്കി, മാത്യു തോമസിനെ കണ്ടെത്തിയതിങ്ങനെ- വിഡിയോ",entertainment
ഡ്രാ​ഗ​ണ്‍ കാ​പ്സ്യൂ​ള്‍ പ​റ​ന്നു​യ​ര്‍​ന്നു!,business
ഇംഗ്ലീഷ് പ്രീമിയര്‍ ലീഗില്‍ മാഞ്ചസ്റ്റര്‍ സിറ്റി താരം റഹിം സ്‌റ്റെര്‍ലിങ്ങിന് ഹാട്രിക്ക്,sports
"ഏകദിന പരമ്ബരയില്‍ ഒപ്പം പിടിച്ച്‌ അയര്‍ലണ്ട്, വിജയശില്പികളായത് ആന്‍ഡ്രൂ ബാല്‍ബിര്‍ണേയും പോള്‍ സ്റ്റിര്‍ലിംഗും",sports
പൊതു തെരഞ്ഞെടുപ്പ് പ്രഖ്യാപനം: ഇന്ത്യന്‍ ഓഹരി വിപണിയില്‍ നേട്ടം തുടരുന്നു,business
ശതകോടീശ്വരന്മാരുടെ എണ്ണത്തില്‍ ഏഷ്യ അതിവേഗം കുതിക്കുന്നു; അടുത്ത അഞ്ചു വര്‍ഷത്തിനുള്ളില്‍ ശതകോടീശ്വരന്മാരുടെ എണ്ണത്തില്‍ 27 ശതമാനത്തിന്‍റെ വര്‍ധനയുണ്ടാകുമെന്ന് റിപ്പോര്‍ട്ട്,business
"'നരകത്തിലേക്ക് പോകൂ സെയ്ഫ് അലിഖാന്‍. ഭാര്യ ബിക്കിനി ധരിക്കുമ്ബോള്‍ നിങ്ങള്‍ക്കു നാണക്കേടു തോന്നുന്നില്ലേ' ...മറുപടിയുമായി കരീന...""ഞാന്‍ ബിക്കിനി ധരിക്കുന്നതു തടയാന്‍ സെയ്ഫ് ആരാണ്.. ഞാന്‍ ബിക്കിനി ധരിക്കുന്നുവെങ്കില്‍ അതിനൊരു കാരണമുണ്ടായിരിക്കും",entertainment
തിരഞ്ഞെടുപ്പുചൂടിലേക്ക് രാജ്യത്തെ ഓഹരിവിപണികളും; ഫലപ്രഖ്യാപന ദിവസം വരെ വിപണിയുടെ സ്വഭാവം അനുമാനങ്ങള്‍ക്കതീതമായി തുടരുമെന്ന് നിരീക്ഷകര്‍,business
പാചകവാതക വിലയില്‍ വര്‍ദ്ധനവ്,business
രഞ്ജി പണിക്കരുടെ ഭാര്യ അനീറ്റ മിറിയം തോമസ് നിര്യാതയായി,entertainment
മുന്‍ ലെസ്റ്റര്‍ സിറ്റി പരിശീലകന്‍ ക്ലൗഡിയോ റാനിയേരി ഇറ്റാലിയന്‍ ലീഗില്‍ തിരിച്ചെത്തി,sports
85.22 കോടിയുടെ തീര്‍ഥാടക ടൂറിസം പദ്ധതിക്കു തുടക്കമായി,business
ലോ​ക കേ​ര​ള​സ​ഭ: ആ​ദ്യ പ​ശ്ചി​മേ​ഷ്യ​ന്‍ സ​മ്മേ​ള​നം നാ​ളെ ദു​ബാ​യി​ല്‍ മു​ഖ്യ​മ​ന്ത്രി ഉ​ദ്ഘാ​ട​നം ചെ​യ്യും,business
"
ഖവാജയും ഹാന്‍ഡ്‌സ്‌കോംപും തുടങ്ങി, ടര്‍ണര്‍ പൂര്‍ത്തിയാക്കി; മൊഹാലിയില്‍ ഓസീസ് ഇന്ത്യയെ വീഴ്ത്തി
                                            
",sports
പ്രശസ്ത എഴുത്തുകാരന്‍ മുത്താന താഹ അന്തരിച്ചു,entertainment
യൂബര്‍ ഈറ്റ്സ് വില്‍പ്പനയ്ക്ക്!: വാങ്ങാന്‍ പോകുന്നത് സ്വിഗ്ഗിയോ സൊമാറ്റോയോ?,business
മുന്നറിയിപ്പുമായി പ്രിയ വാര്യര്‍! സത്യങ്ങള്‍ പറയാന്‍ തുടങ്ങിയാല്‍ ചിലരൊക്കെ വെള്ളം കുടിക്കും!!!,entertainment
അല്‍ ചിരട്ടയ്ക്ക് പിന്നാലെ മലയാളിയെ ഞെട്ടിച്ച്‌ അല്‍ കപ്പ; ആമസോണില്‍ ഒരു കിലോയ്ക്ക് 429 രൂപ,business
"
'നരകത്തിലേക്ക് പോകൂ സെയ്ഫ് അലിഖാന്‍. ഭാര്യ ബിക്കിനി ധരിക്കുമ്ബോള്‍ നിങ്ങള്‍ക്കു നാണക്കേടു തോന്നുന്നില്ലേ' ...മറുപടിയുമായി കരീന...""ഞാന്‍ ബിക്കിനി ധരിക്കുന്നതു തടയാന്‍ സെയ്ഫ് ആരാണ്.. ഞാന്‍ ബിക്കിനി ധരിക്കുന്നുവെങ്കില്‍ അതിനൊരു കാരണമുണ്ടായിരിക്കും
                                            
",entertainment
സൂപ്പര്‍ കപ്പ് കേരള ബ്ലാസ്റ്റേഴ്സിന് ഇന്ത്യന്‍ യുവനിര എതിരാളികള്‍,sports
കോഹ്ലിക്കെതിരെ ആഞ്ഞടിച്ച്‌ ഗംഭീര്‍ ; കാരണം ഈ താരത്തെ ഒഴിവാക്കിയത്..,sports
വെള്ളിത്തിര സെലിബ്രിറ്റി ക്രിക്കറ്റ്‌ പ്രീമിയര്‍ ലീഗ്‌ സീസണ്‍ 2 ഫൈനല്‍ ഇന്ന്,sports
അടുത്ത ബ്രഹ്മാണ്ഡ ചിത്രവുമായി  രാജമൗലി: 'ആര്‍ആര്‍ആര്‍' ന്റെ  ബഡ്ജറ്റ് 400 കോടി,entertainment
മഹേഷ് ബാബു ചിത്രം മഹര്‍ഷിയുടെ പുതിയ പോസ്റ്റര്‍ റിലീസ് ചെയ്തു,entertainment
കൊച്ചിയില്‍ പാരഗണ്‍ ചെരിപ്പുകമ്ബനിയുടെ ഗോഡൗണില്‍ വന്‍ തീപിടുത്തം; ആളുകളെ ഒഴിപ്പിക്കുന്നു,business
റോണോ റെക്കോര്‍ഡുകളെ സ്‌നേഹിച്ച കിങ്,sports
ജി. എസ്.  ടി കുറയുന്ന ഉല്‍പന്നങ്ങളും സേവനങ്ങളും ഏതൊക്കെ എന്ന് നോക്കാം,business
അടുത്ത ദശാബ്ദത്തില്‍ ഇന്ത്യന്‍ സമ്ബദ്‍ഘടന വന്‍ കുതിപ്പ് നടത്തുമെന്ന് റിപ്പോര്‍ട്ട്; ദശാബ്ദത്തെ നയിക്കുക ഇന്ത്യയാകുമെന്നും ഓക്സ്ഫോര്‍ഡ് ഇക്കണോമിക്സ്,business
കേര​ള ടൂ​റി​സ​ത്തി​നു മി​ക​ച്ച വ​ള​ര്‍​ച്ച,business
മഞ്ചേരിയിലും അല്‍ മദീന ചെര്‍പ്പുളശ്ശേരിക്ക് തോല്‍വി,sports
അഞ്ചാം ഏകദിനം; ഇന്ത്യന്‍ സാധ്യതാ ടീം ഇങ്ങനെ,sports
മമ്മൂട്ടി എന്ന നടനെ മാത്രമേ നിങ്ങള്‍ക്ക് അറിയൂ;  മമ്മൂട്ടിയെ വേദിയിലിരുത്തി അദ്ദേഹത്തിന്റെ വ്യക്തിത്വത്തെക്കുറിച്ച്‌ ബഹുഭൂരിപക്ഷം ആളുകള്‍ക്കും അറിവില്ലാത്ത കാര്യങ്ങള്‍ എണ്ണിപ്പറഞ്ഞ് ബിഷപ്പ്,entertainment
ലൂസിഫര്‍ ചിത്രത്തിലെ  ടൊവീനോയുടെ പുതിയ  ക്യാരക്ടര്‍ പോസ്റ്റര്‍  പുറത്തുവിട്ടു,entertainment
"'എല്ലാ രാഷ്ട്രീയ പാര്‍ട്ടികളിലും വേണ്ടപ്പെട്ടവരുണ്ട് പക്ഷേ..', തുറന്നുസമ്മതിച്ച്‌ മോഹന്‍‌ലാല്‍ !",entertainment
ഉയര്‍ന്ന മൂല്യമുളള ഇന്ത്യന്‍ നേട്ടുകള്‍ക്കുള്ള നിരോധനം നേപ്പാളില്‍ തുടരുന്നു; പ്രതിസന്ധി പരിഹരിക്കാന്‍ ഇന്ത്യ ഇടപെടുന്നു,business
ഐ എം വിജയനും ബീനാമോളും സ്പോര്‍ട്സ് കൗണ്‍സില്‍ അംഗങ്ങള്‍,sports
സ്‌പെഷ്യല്‍ ഒളിമ്ബിക്‌സിന് ഉജ്വല സ്വീകരണവുമായി അബുദാബി അന്താരാഷ്ട്ര വിമാനത്താവളം,sports
ഇന്ത്യന്‍ ബോക്‌സിംഗ് താരം ദിനേഷ് ദാഗര്‍ക്ക് വലിയ നേട്ടം:ഒളിംപിംക്‌സ് താരം ഇവല്‍ഡാസിനെ തോല്‍പിച്ച്‌ ക്വാര്‍ട്ടര്‍ ഫൈനലിലേക്ക്,sports
ഒരു മാസത്തില്‍ മോദി നിര്‍വഹിച്ചത് 157 ഉദ്ഘാടനങ്ങള്‍,entertainment
"
കണ്ണൂരില്‍നിന്ന് ഗോ എയര്‍ ഗള്‍ഫ് സര്‍വീസ് തുടങ്ങി
                                            
",business
"അഞ്ചാം ഏകദിനം; ഓസ്‌ട്രേലിയ ആദ്യം ബാറ്റ് ചെയ്യും, ജഡേജയും ഷമിയും മടങ്ങിയെത്തി",sports
വരിക്കാരുടെ എണ്ണത്തില്‍ റി​ല​യ​ന്‍​സ് ജി​യോയുടെ കുതിപ്പ് തുടരുന്നു; വലിയ നഷ്ടം നേരിട്ട് വോഡഫോണ്‍ ഐഡിയയും എയര്‍ടെലും,business
"""യുവന്റസ് എന്നാല്‍ റൊണാള്‍ഡോ മാത്രമെന്ന് കരുതുന്ന അപകടം""",sports
ഇന്ത്യന്‍ സമ്ബദ് വ്യവസ്ഥയിലെ പ്രശ്നങ്ങള്‍,business
കൈവശം വയ്ക്കാവുന്ന സ്വര്‍ണത്തിന് പരിധിയുണ്ടോ? പ്രവാസികളും സ്വദേശികളും അറിയേണ്ട കാര്യങ്ങള്‍,business
"മൂന്നാം ഏകദിനം: ഇന്ത്യക്കു ടോസ്, ഓസ്‌ട്രേലിയയെ ബാറ്റിങിന് അയച്ചു",sports
ഇന്ത്യന്‍ വിപണിയില്‍ നോക്കിയ ഫോണുകള്‍ക്ക് വന്‍ വിലക്കുറവ്,business
"
ഞായര്‍ ദുഃഖം വീണ്ടും
                                            
",sports
കൊച്ചി മെട്രോയുടെ ബ്രാന്‍ഡ് അംബാസിഡറായി നടന്‍ സുരേഷ് ഗോപിയെ നിയമിച്ചു,business
ഐ എസ്‌ എല്‍ ഫൈനല്‍എം 17ന്,sports
ഓര്‍മയില്‍ ഒരു ശിശിരത്തിലെ പുതിയ പോസ്റ്റര്‍ പുറത്തുവിട്ടു,entertainment
"ഓഹരി വിപണിയില്‍ വന്‍ ഇടിവ്,രൂപയും താഴ്ന്ന നിരക്കില്‍",business
ഇതാണു നി​​ശ്ച​​യ​​ദാ​​ര്‍​​ഢ്യം...,sports
കോട്ടയം കുഞ്ഞച്ചന്‍ 2 ഈ വര്‍ഷം ക്രിസ്മസ് റിലീസ്- ഫ്രൈഡേ ഫിലിംസ്,entertainment
ശ്രീലങ്കക്ക്‌ എതിരായ നാലാം ഏകദിനത്തില്‍ സൗത്ത്‌ ആഫ്രിക്ജക്ക്‌ ജയം,sports
കുമ്മനം കേരളത്തില്‍ എത്തി! അഭിപ്രായ വോട്ടെടുപ്പില്‍ തരൂരിനെക്കാള്‍ മുന്നില്‍,entertainment
തിരുവനന്തപുരവും മംഗലാപുരവും ഉള്‍പ്പെടെ അഞ്ച് എയര്‍പോര്‍ട്ടുകള്‍ അദാനിക്ക് വിറ്റ് മോദി സര്‍,business
സൂര്യ ചിത്രം കാപ്പാന്‍: സംപ്രേഷണാവകാശം സണ്‍ ടിവിക്ക്,entertainment
ഷ​മി​ക്കെ​തി​രേ കു​റ്റ​പ​ത്രം സ​മ​ര്‍​പ്പി​ച്ചു,sports
ഒരായുസ്സില്‍ കിട്ടാവുന്ന സ്‌നേഹം അവര്‍ നല്‍കി:  രണ്ടു മക്കളെ നല്‍കി കൊതിപ്പിക്കേണ്ടിയിരുന്നില്ല: ജോണ്‍സന്‍മാഷിന്റെ ഭാര്യ റാണി പറയുന്നു,entertainment
വിരാട് കോലിക്ക് സെഞ്ച്വുറി; വിജയപ്രതീക്ഷയോടെ ഇന്ത്യ,sports
"കൂറ്റന്‍ റാലി തുടരുന്നു, സെന്‍സെക്‌സ് 37,500നു മുകളില്‍, ഒറ്റദിനത്തിലെ നേട്ടം 481 പോയിന്റ്",business
"ഫേസ്ബുക്ക് ഗുണ്ടാ സംഘം, ജനാധിപത്യത്തിന് ഭീഷണി; കുറ്റങ്ങള്‍ നിരത്തി ബ്രിട്ടീഷ് പാര്‍ലമെന്റ് റിപ്പോര്‍ട്ട്‌",business
"
'അയ്യര്‍ ദ ഗ്രേറ്റ്' ആകാന്‍ ജയറാം ; പുതിയ കളികളുമായി പത്മനാഭന്റെ മണ്ണിലേക്ക്..
                                            
",entertainment
"പിഴച്ചത് കോഹ്‌ലിക്കല്ല, സെലക്‍ടര്‍മാര്‍ക്കാണ്; കാരണം ധോണിക്ക് നല്‍കിയ വിശ്രമം!",sports
മേരാ നാം ഷാജിയിലെ ഓഡിയോ ലോഞ്ച് നടത്തി,entertainment
"
സാംസങ് ഗാലക്‌സിയുടെ മൂന്ന് പുതിയ മോഡലുകള്‍ കൂടി വിപണിയില്‍
                                            
",business
"വരുണ്‍ ധവാന്‍ നായകനാകുന്ന ""കലങ്ക്"" ചിത്രത്തിലെ പുതിയ പോസ്റ്റര്‍ പുറത്തുവിട്ടു",entertainment
"
ഈ മെഴുക് പ്രതിമ കണ്ടിട്ട് എന്തു തോന്നുന്നു ; രസികന്‍ മറുപടി നല്‍കി രണ്‍വീര്‍ സിങ്
                                            
",entertainment
"ധോണിയുടെ അഭാവം രോഹിത് ശര്‍മ്മയ്ക്ക് നേട്ടമായി, വഴി തുറക്കുന്നത് റെക്കോര്‍ഡിലേക്ക്",sports
